VJcombo	Pt5_pre_S0089505_Reads	Pt5_pre_S0089505_Freq
TRBV9-1.TRBJ1-5	10	0.000531095650327
TRBV5-8.TRBJ2-6	1	5.31095650327e-05
TRBV6-5.TRBJ2-6	4	0.000212438260131
TRBV14-1.TRBJ2-3	17	0.000902862605555
TRBV6-6.TRBJ2-7	32	0.00169950608105
TRBV6-6.TRBJ2-6	2	0.000106219130065
TRBV6-6.TRBJ2-5	12	0.000637314780392
TRBV6-6.TRBJ2-4	2	0.000106219130065
TRBV6-6.TRBJ2-3	10	0.000531095650327
TRBV6-6.TRBJ2-2	11	0.000584205215359
TRBV6-6.TRBJ2-1	44	0.00233682086144
TRBV14-1.TRBJ2-1	11	0.000584205215359
TRBV6-2.TRBJ1-1	61	0.00323968346699
TRBV6-4.TRBJ2-1	4	0.000212438260131
TRBV6-4.TRBJ2-3	12	0.000637314780392
TRBV6-4.TRBJ2-2	14	0.000743533910457
TRBV6-4.TRBJ2-6	2	0.000106219130065
TRBV30-1.TRBJ2-5	15	0.00079664347549
TRBV5-6.TRBJ2-1	19	0.00100908173562
TRBV5-6.TRBJ2-2	18	0.000955972170588
TRBV5-6.TRBJ2-3	11	0.000584205215359
TRBV5-6.TRBJ2-5	29	0.00154017738595
TRBV5-6.TRBJ2-6	1	5.31095650327e-05
TRBV5-6.TRBJ2-7	23	0.00122151999575
TRBV30-1.TRBJ1-3	3	0.000159328695098
TRBV5-5.TRBJ2-6	2	0.000106219130065
TRBV5-5.TRBJ2-5	3	0.000159328695098
TRBV5-6.TRBJ1-3	14	0.000743533910457
TRBV5-6.TRBJ1-2	34	0.00180572521111
TRBV5-6.TRBJ1-1	26	0.00138084869085
TRBV6-4.TRBJ1-1	1	5.31095650327e-05
TRBV5-6.TRBJ1-6	4	0.000212438260131
TRBV5-6.TRBJ1-5	8	0.000424876520261
TRBV5-6.TRBJ1-4	4	0.000212438260131
TRBV5-5.TRBJ2-2	6	0.000318657390196
TRBV4-3.TRBJ2-7	30	0.00159328695098
TRBV5-5.TRBJ2-1	8	0.000424876520261
TRBV6-5.TRBJ1-3	7	0.000371766955229
TRBV6-5.TRBJ1-2	62	0.00329279303203
TRBV6-5.TRBJ1-1	287	0.0152424451644
TRBV6-5.TRBJ1-6	22	0.00116841043072
TRBV6-5.TRBJ1-5	23	0.00122151999575
TRBV28-1.TRBJ2-2	27	0.00143395825588
TRBV12-5.TRBJ1-6	2	0.000106219130065
TRBV12-5.TRBJ1-3	1	5.31095650327e-05
TRBV12-5.TRBJ1-2	4	0.000212438260131
TRBV12-5.TRBJ1-1	1	5.31095650327e-05
TRBV7-3.TRBJ1-6	26	0.00138084869085
TRBV7-3.TRBJ1-1	3	0.000159328695098
TRBV7-3.TRBJ1-2	3	0.000159328695098
TRBV6-2.TRBJ2-1	79	0.00419565563758
TRBV20-1.TRBJ2-7	167	0.00886929736045
TRBV12-5.TRBJ2-5	137	0.00727601040947
TRBV12-5.TRBJ2-7	144	0.0076477773647
TRBV12-5.TRBJ2-1	7	0.000371766955229
TRBV12-5.TRBJ2-2	2	0.000106219130065
TRBV12-5.TRBJ2-3	4	0.000212438260131
TRBV7-3.TRBJ2-7	7	0.000371766955229
TRBV7-3.TRBJ2-6	2	0.000106219130065
TRBV7-3.TRBJ2-5	3	0.000159328695098
TRBV7-3.TRBJ2-4	1	5.31095650327e-05
TRBV7-3.TRBJ2-3	6	0.000318657390196
TRBV7-3.TRBJ2-2	25	0.00132773912582
TRBV7-3.TRBJ2-1	22	0.00116841043072
TRBV5-3.TRBJ2-5	2	0.000106219130065
TRBV5-3.TRBJ2-7	2	0.000106219130065
TRBV25-1.TRBJ2-3	12	0.000637314780392
TRBV5-3.TRBJ2-2	5	0.000265547825163
TRBV5-3.TRBJ1-5	1	5.31095650327e-05
TRBV2-1.TRBJ1-3	9	0.000477986085294
TRBV1-1.TRBJ2-6	2	0.000106219130065
TRBV2-1.TRBJ1-1	89	0.00472675128791
TRBV1-1.TRBJ2-3	1	5.31095650327e-05
TRBV2-1.TRBJ1-6	18	0.000955972170588
TRBV2-1.TRBJ1-5	40	0.00212438260131
TRBV2-1.TRBJ1-4	15	0.00079664347549
TRBV5-5.TRBJ1-4	5	0.000265547825163
TRBV5-5.TRBJ1-5	14	0.000743533910457
TRBV30-1.TRBJ2-2	12	0.000637314780392
TRBV30-1.TRBJ2-3	63	0.00334590259706
TRBV30-1.TRBJ2-4	2	0.000106219130065
TRBV5-5.TRBJ1-1	8	0.000424876520261
TRBV5-5.TRBJ1-2	2	0.000106219130065
TRBV5-5.TRBJ1-3	7	0.000371766955229
TRBV5-5.TRBJ2-7	1248	0.0662807371608
TRBV30-1.TRBJ1-2	27	0.00143395825588
TRBV30-1.TRBJ1-1	52	0.0027616973817
TRBV5-5.TRBJ2-3	4	0.000212438260131
TRBV30-1.TRBJ1-6	72	0.00382388868235
TRBV30-1.TRBJ1-5	34	0.00180572521111
TRBV30-1.TRBJ1-4	6	0.000318657390196
TRBV25-1.TRBJ2-1	15	0.00079664347549
TRBV6-8.TRBJ2-5	1	5.31095650327e-05
TRBV19-1.TRBJ2-7	681	0.0361676137872
TRBV19-1.TRBJ2-6	8	0.000424876520261
TRBV19-1.TRBJ2-5	67	0.00355834085719
TRBV19-1.TRBJ2-4	5	0.000265547825163
TRBV19-1.TRBJ2-3	34	0.00180572521111
