VJcombo	TCR22A.BC1_Reads	TCR22A.BC1_Freq
TRAV17.TRAJ40	3	5.1096357511e-07
TRAV17.TRAJ43	13	2.21417549214e-06
TRAV17.TRAJ42	12377	0.00210806538971
TRAV1-1.TRAJ26	5320	0.000906108739862
TRAV26-2.TRAJ11	39	6.64252647643e-06
TRAV17.TRAJ49	7499	0.00127723861658
TRAV17.TRAJ48	3	5.1096357511e-07
TRAV1-1.TRAJ21	1	1.70321191703e-07
TRAV1-1.TRAJ20	159	2.70810694808e-05
TRAV8-2.TRAJ29	2	3.40642383407e-07
TRAV27.TRAJ49	1	1.70321191703e-07
TRAV19.TRAJ41	5	8.51605958517e-07
TRAV8-6.TRAJ52	411	7.00020097901e-05
TRAV27.TRAJ43	3	5.1096357511e-07
TRAV27.TRAJ42	2229	0.000379645936307
TRAV8-2.TRAJ20	3	5.1096357511e-07
TRAV19.TRAJ40	7	1.19224834192e-06
TRAV8-6.TRAJ58	512	8.72044501521e-05
TRAV27.TRAJ47	1	1.70321191703e-07
TRAV27.TRAJ44	2	3.40642383407e-07
TRAV27.TRAJ45	1	1.70321191703e-07
TRAV3.TRAJ47	4	6.81284766813e-07
TRAV29DV5.TRAJ6	1	1.70321191703e-07
TRAV10.TRAJ28	4	6.81284766813e-07
TRAV29DV5.TRAJ4	319	5.43324601534e-05
TRAV3.TRAJ42	15	2.55481787555e-06
TRAV3.TRAJ41	1	1.70321191703e-07
TRAV17.TRAJ36	146	2.48668939887e-05
TRAV10.TRAJ22	6	1.02192715022e-06
TRAV10.TRAJ20	20527	0.00349618310209
TRAV10.TRAJ21	1	1.70321191703e-07
TRAV10.TRAJ26	54196	0.00923072730555
TRAV10.TRAJ27	1	1.70321191703e-07
TRAV3.TRAJ49	2	3.40642383407e-07
TRAV8-1.TRAJ42	7	1.19224834192e-06
TRAV38-1.TRAJ54	5224	0.000889757905458
TRAV8-1.TRAJ40	1	1.70321191703e-07
TRAV38-1.TRAJ56	76	1.29444105695e-05
TRAV17.TRAJ34	10	1.70321191703e-06
TRAV8-1.TRAJ47	2	3.40642383407e-07
TRAV38-1.TRAJ53	7808	0.00132986786482
TRAV17.TRAJ37	137516	0.0234218889983
TRAV17.TRAJ39	21064	0.00358764558204
TRAV8-1.TRAJ49	2	3.40642383407e-07
TRAV13-1.TRAJ5	979	0.000166744446678
TRAV3.TRAJ6	5	8.51605958517e-07
TRAV8-4.TRAJ26	158	2.69107482891e-05
TRAV3.TRAJ4	49100	0.00836277051263
