VJcombo	Pt30_on_Reads	Pt30_on_Freq
TRBV5-5.TRBJ1-2	64	0.000227150117834
TRBV5-5.TRBJ1-3	24	8.51812941878e-05
TRBV14-1.TRBJ2-6	5	1.77461029558e-05
TRBV9-1.TRBJ1-5	358	0.00127062097163
TRBV14-1.TRBJ2-3	60	0.000212953235469
TRBV6-6.TRBJ2-7	464	0.0016468383543
TRBV6-6.TRBJ2-6	49	0.000173911808967
TRBV6-6.TRBJ2-5	184	0.000653056588773
TRBV6-6.TRBJ2-4	20	7.09844118232e-05
TRBV6-6.TRBJ2-3	122	0.000433004912121
TRBV6-6.TRBJ2-2	80	0.000283937647293
TRBV6-6.TRBJ2-1	10754	0.0381683182373
TRBV9-1.TRBJ1-3	192	0.000681450353502
TRBV6-4.TRBJ2-1	56	0.000198756353105
TRBV6-4.TRBJ2-3	372	0.00132031005991
TRBV6-4.TRBJ2-2	39	0.000138419603055
TRBV6-4.TRBJ2-5	46	0.000163264147193
TRBV6-4.TRBJ2-7	10814	0.0383812714728
TRBV6-4.TRBJ2-6	1	3.54922059116e-06
TRBV5-6.TRBJ2-1	558	0.00198046508987
TRBV5-6.TRBJ2-2	105	0.000372668162072
TRBV5-6.TRBJ2-3	234	0.000830517618331
TRBV5-6.TRBJ2-4	133	0.000472046338624
TRBV5-6.TRBJ2-5	46	0.000163264147193
TRBV5-6.TRBJ2-6	171	0.000606916721088
TRBV5-6.TRBJ2-7	798	0.00283227803174
TRBV30-1.TRBJ1-3	148	0.000525284647491
TRBV4-3.TRBJ2-6	8	2.83937647293e-05
TRBV5-5.TRBJ2-6	1	3.54922059116e-06
TRBV5-5.TRBJ2-5	26	9.22797353701e-05
TRBV6-4.TRBJ1-2	79	0.000280388426701
TRBV5-6.TRBJ1-2	709	0.00251639739913
TRBV5-6.TRBJ1-1	2784	0.00988103012578
TRBV6-4.TRBJ1-1	70	0.000248445441381
TRBV5-6.TRBJ1-5	168	0.000596269059315
TRBV5-6.TRBJ1-4	177	0.000628212044635
TRBV30-1.TRBJ1-6	1	3.54922059116e-06
TRBV4-3.TRBJ2-7	8328	0.0295579090832
TRBV5-5.TRBJ2-1	125	0.000443652573895
TRBV6-5.TRBJ1-3	72	0.000255543882563
TRBV6-5.TRBJ1-2	940	0.00333626735569
TRBV6-5.TRBJ1-1	360	0.00127771941282
TRBV6-5.TRBJ1-5	158	0.000560776853403
TRBV6-5.TRBJ1-4	194	0.000688548794685
TRBV1-1.TRBJ2-1	1	3.54922059116e-06
TRBV5-8.TRBJ2-4	1	3.54922059116e-06
TRBV25-1.TRBJ2-7	12801	0.0454335727874
TRBV12-5.TRBJ1-5	28	9.93781765524e-05
TRBV12-5.TRBJ1-4	3	1.06476617735e-05
TRBV12-5.TRBJ1-3	3	1.06476617735e-05
TRBV12-5.TRBJ1-2	13	4.61398676851e-05
TRBV12-5.TRBJ1-1	69	0.00024489622079
TRBV7-3.TRBJ1-4	14	4.96890882762e-05
TRBV7-3.TRBJ1-5	57	0.000202305573696
TRBV7-3.TRBJ1-1	1128	0.00400352082683
TRBV7-3.TRBJ1-2	139	0.000493341662171
TRBV7-3.TRBJ1-3	2	7.09844118232e-06
TRBV12-5.TRBJ2-5	58	0.000205854794287
TRBV12-5.TRBJ2-7	8	2.83937647293e-05
TRBV12-5.TRBJ2-1	24	8.51812941878e-05
TRBV12-5.TRBJ2-2	8	2.83937647293e-05
TRBV12-5.TRBJ2-3	8	2.83937647293e-05
TRBV7-3.TRBJ2-7	187	0.000663704250547
TRBV7-3.TRBJ2-6	5	1.77461029558e-05
TRBV7-3.TRBJ2-5	65	0.000230699338425
TRBV7-3.TRBJ2-3	61	0.000216502456061
TRBV7-3.TRBJ2-2	128	0.000454300235668
TRBV7-3.TRBJ2-1	176	0.000624662824044
TRBV1-1.TRBJ1-4	3	1.06476617735e-05
TRBV5-3.TRBJ2-7	18	6.38859706408e-05
TRBV5-3.TRBJ2-6	1	3.54922059116e-06
TRBV5-3.TRBJ2-1	3	1.06476617735e-05
TRBV25-1.TRBJ2-3	16	5.67875294585e-05
TRBV5-3.TRBJ2-2	1	3.54922059116e-06
TRBV5-3.TRBJ1-4	1	3.54922059116e-06
TRBV5-3.TRBJ1-5	1	3.54922059116e-06
TRBV8-2.TRBJ1-2	1	3.54922059116e-06
TRBV5-3.TRBJ1-1	6	2.12953235469e-05
TRBV2-1.TRBJ1-3	407	0.0014445327806
TRBV2-1.TRBJ1-2	497	0.00176396263381
TRBV2-1.TRBJ1-1	422	0.00149777108947
TRBV7-1.TRBJ2-5	1	3.54922059116e-06
TRBV2-1.TRBJ1-5	517	0.00183494704563
TRBV2-1.TRBJ1-4	97	0.000344274397342
TRBV5-5.TRBJ1-4	20	7.09844118232e-05
TRBV5-5.TRBJ1-5	151	0.000535932309265
TRBV30-1.TRBJ2-2	41	0.000145518044237
TRBV30-1.TRBJ2-3	199	0.00070629489764
TRBV30-1.TRBJ2-4	8	2.83937647293e-05
TRBV5-5.TRBJ1-1	200	0.000709844118232
TRBV30-1.TRBJ2-6	684	0.00242766688435
TRBV30-1.TRBJ2-7	1104	0.00391833953264
TRBV5-5.TRBJ2-7	1352	0.00479854623925
TRBV30-1.TRBJ1-2	370	0.00131321161873
TRBV30-1.TRBJ1-1	554	0.0019662682075
TRBV5-5.TRBJ2-4	11	3.90414265027e-05
TRBV5-5.TRBJ2-3	52	0.00018455947074
TRBV5-5.TRBJ2-2	63	0.000223600897243
TRBV30-1.TRBJ1-5	180	0.000638859706408
TRBV30-1.TRBJ1-4	315	0.00111800448621
TRBV25-1.TRBJ2-1	85	0.000301683750248
TRBV6-8.TRBJ2-1	26	9.22797353701e-05
TRBV20-1.TRBJ2-1	4836	0.0171640307788
TRBV19-1.TRBJ2-7	993	0.00352437604702
TRBV19-1.TRBJ2-6	2537	0.00900437263977
TRBV19-1.TRBJ2-5	121	0.00042945569153
TRBV19-1.TRBJ2-4	150	0.000532383088674
TRBV19-1.TRBJ2-3	329	0.00116769357449
TRBV19-1.TRBJ2-2	513	0.00182075016326
TRBV19-1.TRBJ2-1	1275	0.00452525625373
TRBV6-9.TRBJ2-1	5	1.77461029558e-05
TRBV6-9.TRBJ2-3	1	3.54922059116e-06
TRBV12-1.TRBJ1-2	3	1.06476617735e-05
TRBV12-1.TRBJ1-1	2	7.09844118232e-06
TRBV22-1.TRBJ2-6	1	3.54922059116e-06
TRBV6-9.TRBJ1-3	12	4.25906470939e-05
TRBV6-9.TRBJ1-2	1	3.54922059116e-06
TRBV19-1.TRBJ1-4	93	0.000330077514978
TRBV19-1.TRBJ1-5	954	0.00338595644396
TRBV19-1.TRBJ1-1	922	0.00327238138505
TRBV19-1.TRBJ1-2	425	0.00150841875124
TRBV19-1.TRBJ1-3	107	0.000379766603254
TRBV5-4.TRBJ1-5	87	0.000308782191431
TRBV5-4.TRBJ1-4	41	0.000145518044237
TRBV5-4.TRBJ1-1	247	0.000876657486016
TRBV5-4.TRBJ1-3	14	4.96890882762e-05
TRBV5-4.TRBJ1-2	704	0.00249865129618
TRBV5-4.TRBJ2-6	14	4.96890882762e-05
TRBV5-4.TRBJ2-7	379	0.00134515460405
TRBV5-4.TRBJ2-4	154	0.000546579971038
TRBV5-4.TRBJ2-5	131	0.000464947897442
TRBV5-4.TRBJ2-2	1079	0.00382960901786
TRBV5-4.TRBJ2-3	69	0.00024489622079
TRBV5-4.TRBJ2-1	126	0.000447201794486
TRBV18-1.TRBJ1-1	223	0.000791476191828
TRBV18-1.TRBJ1-3	89	0.000315880632613
TRBV18-1.TRBJ1-2	713	0.0025305942815
TRBV18-1.TRBJ1-5	492	0.00174621653085
TRBV18-1.TRBJ1-4	43	0.00015261648542
TRBV12-1.TRBJ2-1	3	1.06476617735e-05
TRBV12-1.TRBJ2-5	1	3.54922059116e-06
TRBV25-1.TRBJ2-6	2	7.09844118232e-06
TRBV6-5.TRBJ2-1	1409	0.00500085181294
TRBV25-1.TRBJ2-4	3	1.06476617735e-05
TRBV25-1.TRBJ2-5	43	0.00015261648542
TRBV6-5.TRBJ2-4	22	7.80828530055e-05
TRBV6-5.TRBJ2-5	115	0.000408160367983
TRBV18-1.TRBJ2-2	85	0.000301683750248
TRBV18-1.TRBJ2-3	173	0.00061401516227
TRBV18-1.TRBJ2-1	388	0.00137709758937
TRBV18-1.TRBJ2-6	27	9.58289559613e-05
TRBV6-5.TRBJ2-6	48	0.000170362588376
TRBV18-1.TRBJ2-4	6	2.12953235469e-05
TRBV18-1.TRBJ2-5	630	0.00223600897243
TRBV20-1.TRBJ1-3	268	0.00095119111843
TRBV7-1.TRBJ2-7	2	7.09844118232e-06
TRBV29-1.TRBJ1-1	926	0.00328657826741
TRBV5-6.TRBJ1-3	46	0.000163264147193
TRBV29-1.TRBJ1-3	53	0.000188108691331
TRBV29-1.TRBJ1-2	449	0.00159360004543
TRBV29-1.TRBJ1-5	110	0.000390414265027
TRBV29-1.TRBJ1-4	39	0.000138419603055
TRBV29-1.TRBJ2-2	302	0.00107186461853
TRBV29-1.TRBJ2-3	223	0.000791476191828
TRBV29-1.TRBJ2-1	328	0.0011641443539
TRBV29-1.TRBJ2-6	10	3.54922059116e-05
TRBV29-1.TRBJ2-7	1153	0.00409225134161
TRBV29-1.TRBJ2-4	10	3.54922059116e-05
TRBV29-1.TRBJ2-5	114	0.000404611147392
TRBV6-4.TRBJ1-4	6	2.12953235469e-05
TRBV6-4.TRBJ1-5	18	6.38859706408e-05
TRBV4-3.TRBJ1-4	7	2.48445441381e-05
TRBV9-1.TRBJ2-6	11	3.90414265027e-05
TRBV20-1.TRBJ1-6	3	1.06476617735e-05
TRBV12-2.TRBJ1-5	1	3.54922059116e-06
TRBV12-2.TRBJ1-1	18	6.38859706408e-05
TRBV12-2.TRBJ1-2	1	3.54922059116e-06
TRBV24-1.TRBJ1-5	37	0.000131321161873
TRBV15-1.TRBJ1-1	55	0.000195207132514
TRBV15-1.TRBJ1-2	119	0.000422357250348
TRBV15-1.TRBJ1-3	119	0.000422357250348
TRBV15-1.TRBJ1-4	15	5.32383088674e-05
TRBV15-1.TRBJ1-5	826	0.0029316562083
TRBV4-3.TRBJ1-3	26	9.22797353701e-05
TRBV4-3.TRBJ1-2	62	0.000220051676652
TRBV7-8.TRBJ1-1	379	0.00134515460405
TRBV4-3.TRBJ1-5	38	0.000134870382464
TRBV3-1.TRBJ2-5	295	0.00104702007439
TRBV3-1.TRBJ2-4	60	0.000212953235469
TRBV3-1.TRBJ2-7	761	0.00270095686987
TRBV3-1.TRBJ2-6	15	5.32383088674e-05
TRBV3-1.TRBJ2-1	3613	0.0128233339959
TRBV3-1.TRBJ2-3	2415	0.00857136772765
TRBV3-1.TRBJ2-2	344	0.00122093188336
TRBV13-1.TRBJ2-5	11	3.90414265027e-05
TRBV13-1.TRBJ2-4	1	3.54922059116e-06
TRBV3-1.TRBJ1-4	151	0.000535932309265
TRBV13-1.TRBJ2-6	69	0.00024489622079
TRBV13-1.TRBJ2-1	64	0.000227150117834
TRBV3-1.TRBJ1-3	794	0.00281808114938
TRBV13-1.TRBJ2-3	121	0.00042945569153
TRBV3-1.TRBJ1-1	390	0.00138419603055
TRBV13-1.TRBJ1-4	8	2.83937647293e-05
TRBV13-1.TRBJ1-5	9	3.19429853204e-05
TRBV13-1.TRBJ1-2	6	2.12953235469e-05
TRBV13-1.TRBJ1-3	4	1.41968823646e-05
TRBV13-1.TRBJ1-1	42	0.000149067264829
TRBV15-1.TRBJ2-3	44	0.000156165706011
TRBV15-1.TRBJ2-2	31	0.000110025838326
TRBV15-1.TRBJ2-1	1833	0.00650572134359
TRBV15-1.TRBJ2-7	1974	0.00700616144695
TRBV15-1.TRBJ2-6	26	9.22797353701e-05
TRBV15-1.TRBJ2-5	48	0.000170362588376
TRBV15-1.TRBJ2-4	13	4.61398676851e-05
