VJcombo	Pt5_on_S0089494_Reads	Pt5_on_S0089494_Freq
TRBV18-1.TRBJ2-3	4	0.000199064397333
TRBV18-1.TRBJ2-1	2	9.95321986663e-05
TRBV18-1.TRBJ2-6	1	4.97660993331e-05
TRBV18-1.TRBJ2-7	37	0.00184134567533
TRBV18-1.TRBJ2-5	3	0.000149298297999
TRBV20-1.TRBJ1-3	3	0.000149298297999
TRBV7-1.TRBJ2-7	1	4.97660993331e-05
TRBV29-1.TRBJ1-1	7	0.000348362695332
TRBV5-6.TRBJ1-3	3	0.000149298297999
TRBV29-1.TRBJ1-2	5	0.000248830496666
TRBV29-1.TRBJ1-5	2	9.95321986663e-05
TRBV29-1.TRBJ2-2	6	0.000298596595999
TRBV29-1.TRBJ2-3	33	0.00164228127799
TRBV29-1.TRBJ2-1	53	0.00263760326466
TRBV29-1.TRBJ2-7	7	0.000348362695332
TRBV29-1.TRBJ2-5	1	4.97660993331e-05
TRBV4-3.TRBJ1-4	14	0.000696725390664
TRBV15-1.TRBJ1-2	7	0.000348362695332
TRBV15-1.TRBJ1-3	1	4.97660993331e-05
TRBV15-1.TRBJ1-6	1	4.97660993331e-05
TRBV4-3.TRBJ1-3	20	0.000995321986663
TRBV7-8.TRBJ1-2	1	4.97660993331e-05
TRBV7-8.TRBJ1-1	13	0.000646959291331
TRBV4-3.TRBJ1-5	114	0.00567333532398
TRBV3-1.TRBJ2-5	8	0.000398128794665
TRBV3-1.TRBJ2-4	1	4.97660993331e-05
TRBV3-1.TRBJ2-7	12	0.000597193191998
TRBV3-1.TRBJ2-6	2	9.95321986663e-05
TRBV3-1.TRBJ2-1	7	0.000348362695332
TRBV3-1.TRBJ2-3	65	0.00323479645665
TRBV3-1.TRBJ2-2	20	0.000995321986663
TRBV3-1.TRBJ1-6	193	0.00960485717129
TRBV13-1.TRBJ2-4	2	9.95321986663e-05
TRBV3-1.TRBJ1-4	7	0.000348362695332
TRBV3-1.TRBJ1-5	1	4.97660993331e-05
TRBV3-1.TRBJ1-2	23	0.00114462028466
TRBV3-1.TRBJ1-3	2	9.95321986663e-05
TRBV13-1.TRBJ2-2	4	0.000199064397333
TRBV13-1.TRBJ1-2	1	4.97660993331e-05
TRBV13-1.TRBJ1-3	2	9.95321986663e-05
TRBV13-1.TRBJ1-1	3	0.000149298297999
TRBV15-1.TRBJ2-3	4	0.000199064397333
TRBV15-1.TRBJ2-2	1	4.97660993331e-05
TRBV15-1.TRBJ2-1	3	0.000149298297999
TRBV15-1.TRBJ2-7	77	0.00383198964865
TRBV10-1.TRBJ1-1	6	0.000298596595999
TRBV10-1.TRBJ1-2	10	0.000497660993331
TRBV10-1.TRBJ1-6	5	0.000248830496666
TRBV10-1.TRBJ2-2	1	4.97660993331e-05
TRBV10-1.TRBJ2-3	4	0.000199064397333
TRBV5-8.TRBJ1-2	3	0.000149298297999
TRBV5-8.TRBJ1-5	2	9.95321986663e-05
TRBV10-1.TRBJ2-7	1	4.97660993331e-05
TRBV11-3.TRBJ2-1	2	9.95321986663e-05
TRBV5-8.TRBJ2-3	2	9.95321986663e-05
TRBV11-3.TRBJ2-3	1	4.97660993331e-05
TRBV5-8.TRBJ2-1	1	4.97660993331e-05
TRBV11-3.TRBJ2-5	4	0.000199064397333
TRBV5-8.TRBJ2-7	3	0.000149298297999
TRBV11-3.TRBJ1-1	3	0.000149298297999
TRBV12-2.TRBJ2-7	4	0.000199064397333
TRBV12-2.TRBJ2-3	1	4.97660993331e-05
TRBV5-1.TRBJ1-1	58	0.00288643376132
TRBV5-1.TRBJ1-2	93	0.00462824723798
TRBV5-1.TRBJ1-3	5	0.000248830496666
TRBV5-1.TRBJ1-4	1	4.97660993331e-05
TRBV5-1.TRBJ1-5	7	0.000348362695332
TRBV5-1.TRBJ1-6	950	0.0472777943665
TRBV7-5.TRBJ2-1	2	9.95321986663e-05
TRBV5-1.TRBJ2-3	9	0.000447894893998
TRBV5-1.TRBJ2-2	74	0.00368269135065
TRBV5-1.TRBJ2-1	2351	0.117000099532
TRBV5-1.TRBJ2-7	1894	0.094256992137
TRBV5-1.TRBJ2-6	4	0.000199064397333
TRBV5-1.TRBJ2-5	12	0.000597193191998
TRBV5-1.TRBJ2-4	1	4.97660993331e-05
TRBV16-1.TRBJ1-5	13	0.000646959291331
TRBV16-1.TRBJ1-2	2	9.95321986663e-05
TRBV13-1.TRBJ2-5	4	0.000199064397333
TRBV13-1.TRBJ2-7	3	0.000149298297999
TRBV13-1.TRBJ2-1	2	9.95321986663e-05
TRBV11-1.TRBJ1-4	28	0.00139345078133
TRBV3-1.TRBJ1-1	97	0.00482731163531
TRBV11-1.TRBJ1-2	1	4.97660993331e-05
TRBV26-1.TRBJ2-6	1	4.97660993331e-05
TRBV11-1.TRBJ2-3	1	4.97660993331e-05
TRBV11-1.TRBJ2-1	1	4.97660993331e-05
