VJcombo	Pt108_pre_Reads	Pt108_pre_Freq
TRBV7-7.TRBJ2-6	1	7.5820759724e-05
TRBV7-7.TRBJ2-5	4	0.000303283038896
TRBV25-1.TRBJ1-5	4	0.000303283038896
TRBV25-1.TRBJ1-4	6	0.000454924558344
TRBV25-1.TRBJ1-1	5	0.00037910379862
TRBV25-1.TRBJ1-3	8	0.000606566077792
TRBV25-1.TRBJ1-2	3	0.000227462279172
TRBV1-1.TRBJ2-7	8	0.000606566077792
TRBV4-2.TRBJ1-4	3	0.000227462279172
TRBV11-2.TRBJ2-1	37	0.00280536810979
TRBV7-7.TRBJ1-1	6	0.000454924558344
TRBV7-7.TRBJ1-2	1	7.5820759724e-05
TRBV7-7.TRBJ1-3	1	7.5820759724e-05
TRBV7-7.TRBJ1-5	1	7.5820759724e-05
TRBV2-1.TRBJ1-6	2	0.000151641519448
TRBV4-2.TRBJ2-1	44	0.00333611342786
TRBV7-9.TRBJ2-3	28	0.00212298127227
TRBV7-9.TRBJ2-2	24	0.00181969823338
TRBV4-2.TRBJ2-5	10	0.00075820759724
TRBV7-9.TRBJ2-4	6	0.000454924558344
TRBV7-9.TRBJ2-7	127	0.00962923648495
TRBV4-2.TRBJ2-6	6	0.000454924558344
TRBV4-2.TRBJ1-2	13	0.000985669876412
TRBV4-2.TRBJ1-3	5	0.00037910379862
TRBV20-1.TRBJ2-5	49	0.00371521722648
TRBV4-2.TRBJ1-1	10	0.00075820759724
TRBV20-1.TRBJ2-3	65	0.00492834938206
TRBV20-1.TRBJ2-2	63	0.00477670786261
TRBV20-1.TRBJ2-1	106	0.00803700053075
TRBV7-9.TRBJ1-5	19	0.00144059443476
TRBV2-1.TRBJ2-1	70	0.00530745318068
TRBV2-1.TRBJ2-2	25	0.0018955189931
TRBV2-1.TRBJ2-3	18	0.00136477367503
TRBV2-1.TRBJ2-4	2	0.000151641519448
TRBV2-1.TRBJ2-5	34	0.00257790583062
TRBV2-1.TRBJ2-6	1	7.5820759724e-05
TRBV2-1.TRBJ2-7	82	0.00621730229737
TRBV30-1.TRBJ2-1	1	7.5820759724e-05
TRBV11-2.TRBJ2-7	80	0.00606566077792
TRBV6-6.TRBJ1-4	4	0.000303283038896
TRBV6-6.TRBJ1-5	34	0.00257790583062
TRBV6-6.TRBJ1-1	15	0.00113731139586
TRBV6-6.TRBJ1-2	29	0.002198802032
TRBV6-6.TRBJ1-3	7	0.000530745318068
TRBV5-5.TRBJ1-3	1	7.5820759724e-05
TRBV6-5.TRBJ2-5	7	0.000530745318068
TRBV14-1.TRBJ2-6	1	7.5820759724e-05
TRBV9-1.TRBJ1-5	11	0.000834028356964
TRBV14-1.TRBJ2-3	8	0.000606566077792
TRBV6-6.TRBJ2-7	45	0.00341193418758
TRBV6-6.TRBJ2-6	1	7.5820759724e-05
TRBV6-6.TRBJ2-5	4	0.000303283038896
TRBV6-6.TRBJ2-4	1	7.5820759724e-05
TRBV6-6.TRBJ2-3	14	0.00106149063614
TRBV6-6.TRBJ2-2	4	0.000303283038896
TRBV6-6.TRBJ2-1	10	0.00075820759724
TRBV14-1.TRBJ2-1	25	0.0018955189931
TRBV6-4.TRBJ2-1	15	0.00113731139586
TRBV6-4.TRBJ2-3	10	0.00075820759724
TRBV6-4.TRBJ2-2	8	0.000606566077792
TRBV6-4.TRBJ2-5	2	0.000151641519448
TRBV6-4.TRBJ2-7	2	0.000151641519448
TRBV6-4.TRBJ2-6	2	0.000151641519448
TRBV5-6.TRBJ2-1	21	0.0015922359542
TRBV5-6.TRBJ2-2	5	0.00037910379862
TRBV5-6.TRBJ2-3	13	0.000985669876412
TRBV5-6.TRBJ2-4	1	7.5820759724e-05
TRBV5-6.TRBJ2-5	13	0.000985669876412
TRBV5-6.TRBJ2-6	3	0.000227462279172
TRBV5-6.TRBJ2-7	18	0.00136477367503
TRBV5-5.TRBJ2-6	1	7.5820759724e-05
TRBV6-4.TRBJ1-2	3	0.000227462279172
TRBV5-6.TRBJ1-2	8	0.000606566077792
TRBV5-6.TRBJ1-1	31	0.00235044355144
TRBV6-4.TRBJ1-1	7	0.000530745318068
TRBV5-6.TRBJ1-6	1	7.5820759724e-05
TRBV5-6.TRBJ1-5	18	0.00136477367503
TRBV6-4.TRBJ1-5	2	0.000151641519448
