VJcombo	EC08_Reads	EC08_Freq
TRBV5-7.TRBJ2-7	4	9.22466675891e-05
TRBV4-2.TRBJ2-6	8	0.000184493335178
TRBV5-7.TRBJ1-5	5	0.000115308334486
TRBV11-2.TRBJ2-1	136	0.00313638669803
TRBV11-2.TRBJ2-2	84	0.00193718001937
TRBV11-2.TRBJ2-3	108	0.00249066002491
TRBV11-2.TRBJ2-4	15	0.000345925003459
TRBV11-2.TRBJ2-5	125	0.00288270836216
TRBV11-2.TRBJ2-6	18	0.000415110004151
TRBV4-2.TRBJ1-3	32	0.000737973340713
TRBV18-1.TRBJ2-7	214	0.00493519671602
TRBV4-2.TRBJ1-1	56	0.00129145334625
TRBV20-1.TRBJ1-3	3	6.91850006919e-05
TRBV7-9.TRBJ1-6	87	0.00200636502006
TRBV17-1.TRBJ2-3	3	6.91850006919e-05
TRBV17-1.TRBJ2-2	1	2.30616668973e-05
TRBV28-1.TRBJ2-7	201	0.00463539504635
TRBV28-1.TRBJ2-6	15	0.000345925003459
TRBV28-1.TRBJ2-5	68	0.00156819334902
TRBV28-1.TRBJ2-4	16	0.000368986670357
TRBV28-1.TRBJ2-3	76	0.00175268668419
TRBV7-9.TRBJ1-4	120	0.00276740002767
TRBV28-1.TRBJ2-1	77	0.00177574835109
TRBV7-9.TRBJ1-5	111	0.0025598450256
TRBV7-4.TRBJ2-1	4	9.22466675891e-05
TRBV7-4.TRBJ2-2	1	2.30616668973e-05
TRBV11-2.TRBJ2-7	273	0.00629583506296
TRBV10-3.TRBJ2-4	6	0.000138370001384
TRBV10-3.TRBJ2-5	67	0.00154513168212
TRBV10-3.TRBJ2-6	6	0.000138370001384
TRBV10-3.TRBJ2-7	172	0.00396660670633
TRBV11-3.TRBJ2-6	4	9.22466675891e-05
TRBV10-3.TRBJ2-1	97	0.00223698168904
TRBV10-3.TRBJ2-2	79	0.00182187168489
TRBV10-3.TRBJ2-3	108	0.00249066002491
TRBV11-2.TRBJ1-3	48	0.00110696001107
TRBV11-2.TRBJ1-2	114	0.00262903002629
TRBV11-2.TRBJ1-1	116	0.00267515336008
TRBV4-2.TRBJ1-2	79	0.00182187168489
TRBV11-2.TRBJ1-5	39	0.000899405008994
TRBV11-2.TRBJ1-4	56	0.00129145334625
TRBV7-4.TRBJ1-5	2	4.61233337946e-05
TRBV27-1.TRBJ2-7	391	0.00901711175684
TRBV7-4.TRBJ1-2	2	4.61233337946e-05
TRBV7-4.TRBJ1-1	5	0.000115308334486
TRBV25-1.TRBJ2-6	10	0.000230616668973
TRBV6-5.TRBJ2-1	172	0.00396660670633
TRBV6-5.TRBJ2-2	118	0.00272127669388
TRBV6-5.TRBJ2-3	175	0.00403579170702
TRBV6-5.TRBJ2-4	19	0.000438171671048
TRBV6-5.TRBJ2-5	144	0.00332088003321
TRBV20-1.TRBJ1-2	64	0.00147594668143
TRBV25-1.TRBJ2-1	71	0.00163737834971
TRBV7-2.TRBJ1-5	121	0.00279046169457
TRBV7-2.TRBJ1-4	48	0.00110696001107
TRBV7-2.TRBJ1-6	37	0.000853281675199
TRBV7-2.TRBJ1-1	173	0.00398966837323
TRBV7-2.TRBJ1-3	45	0.00103777501038
TRBV7-2.TRBJ1-2	183	0.0042202850422
TRBV7-2.TRBJ2-6	25	0.000576541672432
TRBV7-2.TRBJ2-7	393	0.00906323509063
TRBV7-2.TRBJ2-4	20	0.000461233337946
TRBV7-2.TRBJ2-5	132	0.00304414003044
TRBV7-2.TRBJ2-2	125	0.00288270836216
TRBV7-2.TRBJ2-3	230	0.00530418338638
TRBV7-2.TRBJ2-1	192	0.00442784004428
TRBV10-3.TRBJ1-6	36	0.000830220008302
TRBV10-3.TRBJ1-5	53	0.00122226834556
TRBV10-3.TRBJ1-4	24	0.000553480005535
TRBV10-3.TRBJ1-3	46	0.00106083667728
TRBV10-3.TRBJ1-2	139	0.00320557169872
TRBV10-3.TRBJ1-1	106	0.00244453669111
TRBV7-7.TRBJ2-3	15	0.000345925003459
TRBV7-7.TRBJ2-2	20	0.000461233337946
TRBV7-7.TRBJ2-1	17	0.000392048337254
TRBV7-7.TRBJ2-7	22	0.00050735667174
TRBV7-7.TRBJ2-6	3	6.91850006919e-05
TRBV7-7.TRBJ2-5	27	0.000622665006227
TRBV25-1.TRBJ1-5	19	0.000438171671048
TRBV25-1.TRBJ1-4	38	0.000876343342097
TRBV25-1.TRBJ1-6	24	0.000553480005535
TRBV25-1.TRBJ1-1	77	0.00177574835109
TRBV25-1.TRBJ1-3	33	0.00076103500761
TRBV25-1.TRBJ1-2	89	0.00205248835386
TRBV25-1.TRBJ2-3	34	0.000784096674508
TRBV1-1.TRBJ2-7	5	0.000115308334486
TRBV5-8.TRBJ2-2	11	0.00025367833587
TRBV1-1.TRBJ2-5	5	0.000115308334486
TRBV7-7.TRBJ1-1	8	0.000184493335178
TRBV7-7.TRBJ1-2	3	6.91850006919e-05
TRBV7-7.TRBJ1-4	1	2.30616668973e-05
TRBV7-7.TRBJ1-5	5	0.000115308334486
TRBV1-1.TRBJ2-2	2	4.61233337946e-05
TRBV7-9.TRBJ2-1	249	0.00574235505742
TRBV7-9.TRBJ2-3	231	0.00532724505327
TRBV7-9.TRBJ2-2	153	0.00352843503528
TRBV7-9.TRBJ2-5	192	0.00442784004428
TRBV7-9.TRBJ2-4	38	0.000876343342097
TRBV4-2.TRBJ2-7	136	0.00313638669803
TRBV7-8.TRBJ2-5	82	0.00189105668558
TRBV7-9.TRBJ1-2	355	0.00818689174854
TRBV7-9.TRBJ1-3	130	0.00299801669665
TRBV20-1.TRBJ2-5	30	0.000691850006919
TRBV7-9.TRBJ1-1	750	0.017296250173
TRBV4-2.TRBJ1-6	39	0.000899405008994
TRBV20-1.TRBJ2-2	5	0.000115308334486
TRBV4-2.TRBJ1-4	33	0.00076103500761
TRBV4-2.TRBJ1-5	66	0.00152207001522
TRBV2-1.TRBJ2-1	266	0.00613440339468
TRBV2-1.TRBJ2-2	151	0.00348231170149
TRBV2-1.TRBJ2-3	201	0.00463539504635
TRBV2-1.TRBJ2-4	30	0.000691850006919
TRBV2-1.TRBJ2-5	176	0.00405885337392
TRBV2-1.TRBJ2-6	26	0.000599603339329
TRBV2-1.TRBJ2-7	389	0.00897098842304
TRBV30-1.TRBJ2-1	146	0.003367003367
TRBV28-1.TRBJ2-2	47	0.00108389834417
TRBV5-5.TRBJ1-6	16	0.000368986670357
TRBV7-8.TRBJ2-6	6	0.000138370001384
TRBV6-6.TRBJ1-4	37	0.000853281675199
TRBV6-6.TRBJ1-5	145	0.00334394170011
TRBV6-6.TRBJ1-6	29	0.000668788340021
TRBV6-6.TRBJ1-1	129	0.00297495502975
TRBV6-6.TRBJ1-2	107	0.00246759835801
TRBV6-6.TRBJ1-3	30	0.000691850006919
TRBV30-1.TRBJ2-6	14	0.000322863336562
TRBV5-5.TRBJ1-3	12	0.000276740002767
TRBV14-1.TRBJ2-6	8	0.000184493335178
TRBV9-1.TRBJ1-5	75	0.0017296250173
TRBV14-1.TRBJ2-4	4	9.22466675891e-05
TRBV5-8.TRBJ2-6	6	0.000138370001384
TRBV14-1.TRBJ2-3	55	0.00126839167935
TRBV6-6.TRBJ2-7	194	0.00447396337807
TRBV6-6.TRBJ2-6	7	0.000161431668281
TRBV6-6.TRBJ2-5	65	0.00149900834832
TRBV6-6.TRBJ2-4	7	0.000161431668281
TRBV6-6.TRBJ2-3	71	0.00163737834971
TRBV6-6.TRBJ2-2	37	0.000853281675199
TRBV6-6.TRBJ2-1	97	0.00223698168904
TRBV14-1.TRBJ2-1	85	0.00196024168627
TRBV6-4.TRBJ2-1	82	0.00189105668558
TRBV6-4.TRBJ2-3	93	0.00214473502145
TRBV6-4.TRBJ2-2	78	0.00179881001799
TRBV6-4.TRBJ2-5	24	0.000553480005535
TRBV6-4.TRBJ2-4	7	0.000161431668281
TRBV6-4.TRBJ2-7	35	0.000807158341405
TRBV6-4.TRBJ2-6	9	0.000207555002076
TRBV30-1.TRBJ2-5	89	0.00205248835386
TRBV5-6.TRBJ2-1	107	0.00246759835801
TRBV5-6.TRBJ2-2	74	0.0017065633504
TRBV5-6.TRBJ2-3	125	0.00288270836216
TRBV5-6.TRBJ2-4	10	0.000230616668973
TRBV5-6.TRBJ2-5	92	0.00212167335455
TRBV5-6.TRBJ2-6	19	0.000438171671048
TRBV5-6.TRBJ2-7	214	0.00493519671602
TRBV5-5.TRBJ2-7	87	0.00200636502006
TRBV5-5.TRBJ2-6	6	0.000138370001384
TRBV5-5.TRBJ2-5	33	0.00076103500761
TRBV6-4.TRBJ1-2	43	0.000991651676583
TRBV5-6.TRBJ1-2	177	0.00408191504082
TRBV5-6.TRBJ1-1	159	0.00366680503667
TRBV6-4.TRBJ1-1	36	0.000830220008302
TRBV6-4.TRBJ1-6	15	0.000345925003459
TRBV5-6.TRBJ1-6	36	0.000830220008302
TRBV5-6.TRBJ1-5	38	0.000876343342097
TRBV6-4.TRBJ1-5	33	0.00076103500761
TRBV5-5.TRBJ2-2	22	0.00050735667174
TRBV4-3.TRBJ2-7	127	0.00292883169595
TRBV5-5.TRBJ2-1	37	0.000853281675199
TRBV6-5.TRBJ1-3	94	0.00216779668834
TRBV6-5.TRBJ1-2	304	0.00701074673677
TRBV6-5.TRBJ1-1	335	0.00772565841059
TRBV6-5.TRBJ1-6	148	0.0034131267008
TRBV6-5.TRBJ1-5	138	0.00318251003183
TRBV6-5.TRBJ1-4	77	0.00177574835109
TRBV1-1.TRBJ2-1	5	0.000115308334486
TRBV22-1.TRBJ1-2	2	4.61233337946e-05
TRBV7-4.TRBJ2-7	3	6.91850006919e-05
TRBV25-1.TRBJ2-7	69	0.00159125501591
TRBV12-5.TRBJ1-6	9	0.000207555002076
TRBV12-5.TRBJ1-5	33	0.00076103500761
TRBV12-5.TRBJ1-4	11	0.00025367833587
TRBV12-5.TRBJ1-3	21	0.000484295004843
TRBV12-5.TRBJ1-2	61	0.00140676168073
TRBV12-5.TRBJ1-1	200	0.00461233337946
TRBV7-3.TRBJ1-4	7	0.000161431668281
TRBV7-3.TRBJ1-5	24	0.000553480005535
TRBV7-3.TRBJ1-6	28	0.000645726673124
TRBV7-3.TRBJ1-1	87	0.00200636502006
TRBV7-3.TRBJ1-2	44	0.00101471334348
TRBV7-3.TRBJ1-3	14	0.000322863336562
TRBV20-1.TRBJ2-7	48	0.00110696001107
TRBV12-5.TRBJ2-4	4	9.22466675891e-05
TRBV12-5.TRBJ2-5	37	0.000853281675199
TRBV12-5.TRBJ2-6	12	0.000276740002767
TRBV12-5.TRBJ2-7	89	0.00205248835386
TRBV12-5.TRBJ2-1	59	0.00136063834694
TRBV12-5.TRBJ2-2	30	0.000691850006919
TRBV12-5.TRBJ2-3	48	0.00110696001107
TRBV7-3.TRBJ2-7	62	0.00142982334763
TRBV7-3.TRBJ2-6	8	0.000184493335178
TRBV7-3.TRBJ2-5	47	0.00108389834417
TRBV7-3.TRBJ2-4	1	2.30616668973e-05
TRBV7-3.TRBJ2-3	75	0.0017296250173
